Wavelength,Intensity
190.0,247.16844988988666
190.24008002667557,220.91570398577784
190.4801600533511,156.26277873684873
190.72024008002668,265.84656510188944
190.96032010670223,184.6049102636868
191.2004001333778,207.3898935943533
191.44048016005334,278.5009239211675
191.6805601867289,191.45141850546688
191.92064021340448,251.04176985001013
192.16072024008002,268.1106257748333
192.4008002667556,137.9787801835402
192.64088029343114,173.27485469111312
192.8809603201067,278.6350523711357
193.12104034678225,178.10991756028972
193.36112037345782,162.65878557209834
193.60120040013337,26.63999539096926
193.84128042680894,159.55985535056723
194.0813604534845,221.3287401789515
194.32144048016005,276.3452903131694
194.56152050683562,288.8160417476242
194.80160053351116,161.4766027562019
195.04168056018673,250.6375445484048
195.28176058686228,76.75531879079267
195.52184061353785,181.62477744217884
195.76192064021342,180.58453160449923
196.00200066688896,203.1135408969827
196.24208069356453,224.78601996500595
196.48216072024007,170.27567192018032
196.72224074691565,255.79168555939336
196.9623207735912,226.47804878680262
197.20240080026676,140.03423749308098
197.4424808269423,261.65392106116656
197.68256085361787,200.90508102782115
197.92264088029344,130.5571304988411
198.16272090696899,201.47123870636378
198.40280093364456,294.0176497952113
198.6428809603201,246.95674611710416
198.88296098699567,261.02657758668056
199.1230410136712,153.70939714328966
199.36312104034678,139.66999122072386
199.60320106702235,200.1575720618968
199.8432810936979,198.5516194198923
200.08336112037347,191.50913812446697
200.323441147049,213.6674695164735
200.56352117372458,262.44488444439554
200.80360120040012,173.3392313429536
201.0436812270757,225.53790366526596
201.28376125375127,210.20936186742168
201.5238412804268,232.43680896028792
201.76392130710238,294.3215569617766
202.00400133377792,202.9352763677754
202.2440813604535,188.12886297582568
202.48416138712903,144.07149126209896
202.7242414138046,167.05850304036426
202.96432144048015,173.47429630588414
203.20440146715572,244.57379387385834
203.4444814938313,251.7746015951269
203.68456152050683,160.084910544019
203.9246415471824,190.47843820116407
204.16472157385795,203.49068346035452
204.40480160053352,272.0425688038233
204.64488162720906,164.98796355572748
204.88496165388463,125.66719247528326
205.12504168056017,239.01537652342114
205.36512170723574,164.2709784308352
205.60520173391131,157.88383166323717
205.84528176058686,208.57704903753805
